trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
5460,2019,US,US,ELEC3,MEDIC,9.16,171842193.497,3.0,2.0,0.0,0.0,171578893.26,0.0,0.0,263300.237,0.0,263300.237,0.0,171578893.26,0.0,18760064.792249
8857,2019,US,US,HEALT,NATU1,0.0,171656798.802,3.0,3.0,171656659.974,138.828,0.0,0.0,0.0,0.0,171656659.974,0.0,138.828,0.0,0.0,0.0
20590,2019,US,US,WHEAT,CEREA,578.52,171280621.072,2.0,2.0,0.0,0.0,0.0,87547344.487,0.0,83733276.585,0.0,0.0,0.0,0.0,87547344.487,296066.896688
5524,2019,US,US,ELEC3,TRAN2,9.09,170648218.314,3.0,2.0,0.0,0.0,170386747.511,0.0,0.0,261470.803,0.0,261470.803,0.0,170386747.511,0.0,18773181.332673
14552,2019,US,US,PFERT,NONF1,0.0,169824072.815,1.0,1.0,169824072.815,0.0,0.0,0.0,0.0,0.0,169824072.815,0.0,0.0,0.0,0.0,0.0
2352,2019,US,US,CATTL,ANIMA,56.28,169342120.504,4.0,3.0,0.0,0.0,0.0,120201255.852,49140864.652,0.0,0.0,0.0,0.0,0.0,11251038.653,3008921.828429
12491,2019,US,US,NATUR,FABRI,246.16,164888059.758,1.0,1.0,0.0,0.0,0.0,0.0,164888059.758,0.0,0.0,0.0,0.0,0.0,0.0,669840.996742
3951,2019,US,US,CRUDE,ANIMA,0.0,164817222.945,6.0,3.0,164801398.896,0.0,15145.97,0.0,678.079,0.0,164801398.896,0.0,0.0,15145.97,0.0,0.0
10200,2019,US,US,KEROS,FORES,55.8,164615367.458,1.0,1.0,0.0,0.0,164615367.458,0.0,0.0,0.0,0.0,0.0,0.0,164615367.458,0.0,2950096.191004
2916,2019,US,US,CHEM1,PREC1,38.45,163498400.954,1.0,1.0,0.0,0.0,163498400.954,0.0,0.0,0.0,0.0,0.0,0.0,163498400.954,0.0,4252234.095033
14482,2019,US,US,PFERT,CERAM,0.0,162854156.287,1.0,1.0,162854156.287,0.0,0.0,0.0,0.0,0.0,162854156.287,0.0,0.0,0.0,0.0,0.0
2765,2019,US,US,CEREA,RESEA,158.64,162806337.5,5.0,4.0,0.0,0.0,0.0,77371044.535,57095140.855,28340152.11,0.0,2909070.076,0.0,0.0,77371044.535,1026262.843545
18517,2019,US,US,STONE,VEGET,129.7,160387558.344,2.0,1.0,0.0,0.0,0.0,0.0,160387558.344,0.0,0.0,0.0,0.0,0.0,0.0,1236604.150686
17875,2019,US,US,SANDC,NATUR,103.16,158837955.837,1.0,1.0,0.0,0.0,0.0,0.0,158837955.837,0.0,0.0,0.0,0.0,0.0,0.0,1539724.271394
2955,2019,US,US,CHEM1,WEARI,37.3,158612927.273,1.0,1.0,0.0,0.0,158612927.273,0.0,0.0,0.0,0.0,0.0,0.0,158612927.273,0.0,4252357.299544
16551,2019,US,US,REALE,PREC1,26.6,158384663.732,2.0,1.0,0.0,0.0,158384663.732,0.0,0.0,0.0,0.0,0.0,0.0,158384663.732,0.0,5954310.666617
2860,2019,US,US,CHEM1,HEAVY,37.01,157388343.253,1.0,1.0,0.0,0.0,157388343.253,0.0,0.0,0.0,0.0,0.0,0.0,157388343.253,0.0,4252589.658282
16445,2019,US,US,REALE,CERAM,25.97,154601628.951,2.0,1.0,0.0,0.0,154601628.951,0.0,0.0,0.0,0.0,0.0,0.0,154601628.951,0.0,5953085.442857
8151,2019,US,US,FORES,RESEA,46.44,153946406.365,2.0,2.0,0.0,0.0,0.0,143883911.56,10062494.805,0.0,0.0,0.0,0.0,0.0,143883911.56,3314952.764104
2314,2019,US,US,BUSIN,REFI1,0.0,152268866.277,1.0,1.0,152268866.277,0.0,0.0,0.0,0.0,0.0,152268866.277,0.0,0.0,0.0,0.0,0.0
16337,2019,US,US,RAWMI,BEVER,239.42,151871944.598,1.0,1.0,0.0,0.0,0.0,151871944.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634332.739947
14302,2019,US,US,PAPER,URANI,0.0,151835743.714,1.0,1.0,151835743.714,0.0,0.0,0.0,0.0,0.0,151835743.714,0.0,0.0,0.0,0.0,0.0
2877,2019,US,US,CHEM1,LUBRI,35.22,149785150.927,1.0,1.0,0.0,0.0,149785150.927,0.0,0.0,0.0,0.0,0.0,0.0,149785150.927,0.0,4252843.581119
19735,2019,US,US,TRAN2,BKBPE,0.0,149721883.746,1.0,1.0,149721883.746,0.0,0.0,0.0,0.0,0.0,149721883.746,0.0,0.0,0.0,0.0,0.0
16580,2019,US,US,REALE,TEXT2,25.13,149626335.037,2.0,1.0,0.0,0.0,149626335.037,0.0,0.0,0.0,0.0,0.0,0.0,149626335.037,0.0,5954092.122443
3926,2019,US,US,CROPS,RAWMI,860.96,148712373.374,2.0,2.0,0.0,0.0,0.0,0.0,0.0,148712373.374,0.0,22852693.354,0.0,0.0,0.0,172728.551122
16402,2019,US,US,RAWMI,RESEA,233.62,148194765.947,1.0,1.0,0.0,0.0,0.0,148194765.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634341.092145
2889,2019,US,US,CHEM1,NATU1,34.76,147819395.352,1.0,1.0,0.0,0.0,147819395.352,0.0,0.0,0.0,0.0,0.0,0.0,147819395.352,0.0,4252571.788032
16409,2019,US,US,RAWMI,SUGA1,232.81,147680200.57,1.0,1.0,0.0,0.0,0.0,147680200.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634337.874533
3969,2019,US,US,CRUDE,COALT,0.0,147127530.874,6.0,3.0,147113405.206,0.0,13520.366,0.0,605.302,0.0,147113405.206,0.0,0.0,13520.366,0.0,0.0
14514,2019,US,US,PFERT,FOOD4,0.0,145599291.192,1.0,1.0,145599291.192,0.0,0.0,0.0,0.0,0.0,145599291.192,0.0,0.0,0.0,0.0,0.0
5458,2019,US,US,ELEC3,MEATC,7.67,143983952.474,3.0,2.0,0.0,0.0,143763337.222,0.0,0.0,220615.252,0.0,220615.252,0.0,143763337.222,0.0,18772353.647197
5437,2019,US,US,ELEC3,HEAVY,7.66,143721629.103,3.0,2.0,0.0,0.0,143501415.788,0.0,0.0,220213.315,0.0,220213.315,0.0,143501415.788,0.0,18762614.765405
2954,2019,US,US,CHEM1,WASTE,33.65,143078683.769,1.0,1.0,0.0,0.0,143078683.769,0.0,0.0,0.0,0.0,0.0,0.0,143078683.769,0.0,4251966.828202
17071,2019,US,US,RESEA,NATU1,0.0,141185728.354,1.0,1.0,141185728.354,0.0,0.0,0.0,0.0,0.0,141185728.354,0.0,0.0,0.0,0.0,0.0
14559,2019,US,US,PFERT,PAPE3,0.0,140261916.754,1.0,1.0,140261916.754,0.0,0.0,0.0,0.0,0.0,140261916.754,0.0,0.0,0.0,0.0,0.0
2870,2019,US,US,CHEM1,LANDT,32.75,139288407.682,1.0,1.0,0.0,0.0,139288407.682,0.0,0.0,0.0,0.0,0.0,0.0,139288407.682,0.0,4253081.150595
14575,2019,US,US,PFERT,PULP5,0.0,138129109.332,1.0,1.0,138129109.332,0.0,0.0,0.0,0.0,0.0,138129109.332,0.0,0.0,0.0,0.0,0.0
18488,2019,US,US,STONE,OILSE,110.06,136110215.321,2.0,1.0,0.0,0.0,0.0,0.0,136110215.321,0.0,0.0,0.0,0.0,0.0,0.0,1236691.035081
14569,2019,US,US,PFERT,PLAS2,0.0,135057624.203,1.0,1.0,135057624.203,0.0,0.0,0.0,0.0,0.0,135057624.203,0.0,0.0,0.0,0.0,0.0
19743,2019,US,US,TRAN2,CHARC,0.0,134756823.43,1.0,1.0,134756823.43,0.0,0.0,0.0,0.0,0.0,134756823.43,0.0,0.0,0.0,0.0,0.0
16419,2019,US,US,RAWMI,WHOLE,212.35,134704043.504,1.0,1.0,0.0,0.0,0.0,134704043.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634349.157071
2919,2019,US,US,CHEM1,PROCE,31.48,133863795.913,1.0,1.0,0.0,0.0,133863795.913,0.0,0.0,0.0,0.0,0.0,0.0,133863795.913,0.0,4252344.215788
