trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,energy,land,material,water,CO2_total,Water_total,Energy_total,Land_total,impact_intensity
17351,2019,RU,RU,REALE,TRANS,359.14,38121355349247.78,1.0,1.0,38121355349247.78,0.0,0.0,0.0,0.0,38121355349247.78,0.0,0.0,0.0,106146225286.09395
5537,2019,RU,RU,ELEC2,RUBBE,124.25,37800707049692.44,5.0,3.0,37798336338138.83,2368440686.395,0.0,0.0,2270867.218,37798336338138.83,2270867.218,2368440686.395,0.0,304231042653.46027
1134,2019,RU,RU,BASIC,PAPE4,211.82,37727677592356.49,2.0,2.0,37727027107692.72,650484663.771,0.0,0.0,0.0,37727027107692.72,0.0,650484663.771,0.0,178111970504.9405
22246,2019,RU,RU,WOODW,FURNI,810.04,37268511206522.84,1.0,1.0,37268511206522.84,0.0,0.0,0.0,0.0,37268511206522.84,0.0,0.0,0.0,46008235650.73681
17229,2019,RU,RU,REALE,ELEC2,347.0,36832670097349.7,1.0,1.0,36832670097349.7,0.0,0.0,0.0,0.0,36832670097349.7,0.0,0.0,0.0,106146023335.30174
17193,2019,RU,RU,REALE,BEVER,346.16,36743534359609.16,1.0,1.0,36743534359609.16,0.0,0.0,0.0,0.0,36743534359609.16,0.0,0.0,0.0,106146101108.18452
1143,2019,RU,RU,BASIC,PLAS2,199.44,35523725604782.05,2.0,2.0,35523113119726.5,612485055.55,0.0,0.0,0.0,35523113119726.5,0.0,612485055.55,0.0,178117356622.4531
17330,2019,RU,RU,REALE,RESEA,332.27,35269298406046.1,1.0,1.0,35269298406046.1,0.0,0.0,0.0,0.0,35269298406046.1,0.0,0.0,0.0,106146502561.30888
17332,2019,RU,RU,REALE,RETAI,325.8,34582848730818.387,1.0,1.0,34582848730818.387,0.0,0.0,0.0,0.0,34582848730818.387,0.0,0.0,0.0,106147479222.89253
5363,2019,RU,RU,ELEC1,RETA1,212.79,34416353004095.945,1.0,1.0,34416353004095.945,0.0,0.0,0.0,0.0,34416353004095.945,0.0,0.0,0.0,161738582659.41043
