trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
4492,2019,WM,WM,ELEC2,POSTT,473.23,208521574788098.6,5.0,3.0,208509650084237.7,0.0,11888560611.084,0.0,0.0,36143249.834,208509650084237.7,36143249.834,0.0,11888560611.084,0.0,440634733191.2571
137,2019,WM,WM,AIRTR,AIRTR,2024.69,186632853962206.1,1.0,1.0,186632853962206.1,0.0,0.0,0.0,0.0,0.0,186632853962206.1,0.0,0.0,0.0,0.0,92178483601.04811
4529,2019,WM,WM,ELEC2,VEGET,419.75,184956078993118.34,5.0,3.0,184945501927068.9,0.0,10545007430.203,0.0,0.0,32058619.25,184945501927068.9,32058619.25,0.0,10545007430.203,0.0,440633898732.86084
4450,2019,WM,WM,ELEC2,LANDT,411.69,181406439418687.22,5.0,3.0,181396065345545.25,0.0,10342629785.247,0.0,0.0,31443356.728,181396065345545.25,31443356.728,0.0,10342629785.247,0.0,440638440133.8075
4377,2019,WM,WM,ELEC2,ALUM1,406.1,178944753808003.38,5.0,3.0,178934520511046.97,0.0,10202280286.075,0.0,0.0,31016670.337,178934520511046.97,31016670.337,0.0,10202280286.075,0.0,440642092607.74036
4449,2019,WM,WM,ELEC2,KEROS,403.8,177931648008259.9,5.0,3.0,177921472647690.44,0.0,10144519501.764,0.0,0.0,30841067.712,177921472647690.44,30841067.712,0.0,10144519501.764,0.0,440643011412.2335
4534,2019,WM,WM,ELEC2,WHOLE,362.38,159679627812080.56,5.0,3.0,159670496228088.75,0.0,9103906564.721,0.0,0.0,27677427.083,159670496228088.75,27677427.083,0.0,9103906564.721,0.0,440641392494.2893
11314,2019,WM,WM,NATUR,MEDIC,2173.79,155101766691371.8,2.0,2.0,155100593221942.88,0.0,0.0,0.0,1173469428.945,0.0,155100593221942.88,0.0,0.0,0.0,0.0,71350851136.20534
4430,2019,WM,WM,ELEC2,FOOD5,344.07,151609058459543.38,5.0,3.0,151600388406448.88,0.0,8643774547.153,0.0,0.0,26278547.352,151600388406448.88,26278547.352,0.0,8643774547.153,0.0,440634343184.65247
4486,2019,WM,WM,ELEC2,PFERT,334.8,147524162127969.8,5.0,3.0,147515725677461.06,0.0,8410880000.499,0.0,0.0,25570508.25,147515725677461.06,25570508.25,0.0,8410880000.499,0.0,440633698112.2157
4395,2019,WM,WM,ELEC2,CHEM1,318.18,140200635787143.1,5.0,3.0,140192618146452.56,0.0,7993339576.309,0.0,0.0,24301114.22,140192618146452.56,24301114.22,0.0,7993339576.309,0.0,440633087520.0927
4465,2019,WM,WM,ELEC2,MOTOR,311.49,137255592461003.03,5.0,3.0,137247743238230.69,0.0,7825432125.386,0.0,0.0,23790646.961,137247743238230.69,23790646.961,0.0,7825432125.386,0.0,440642050983.9899
10771,2019,WM,WM,MEDIC,RESEA,797.63,136487671290928.86,3.0,2.0,136482849491047.4,0.0,4821799881.457,0.0,0.0,0.0,136482849491047.4,0.0,0.0,4821799881.457,0.0,171116521809.5218
281,2019,WM,WM,AIRTR,SUPPO,1386.1,127768235598009.22,1.0,1.0,127768235598009.22,0.0,0.0,0.0,0.0,0.0,127768235598009.22,0.0,0.0,0.0,0.0,92178223503.36139
4375,2019,WM,WM,ELEC2,93197,276.98,122046902670500.42,5.0,3.0,122039923185653.52,0.0,6958330337.126,0.0,0.0,21154509.787,122039923185653.52,21154509.787,0.0,6958330337.126,0.0,440634351471.22687
4454,2019,WM,WM,ELEC2,LIQUE,276.6,121881731373198.69,5.0,3.0,121874761333987.36,0.0,6948913330.847,0.0,0.0,21125880.484,121874761333987.36,21125880.484,0.0,6948913330.847,0.0,440642557386.83545
10678,2019,WM,WM,MEDIC,CONST,688.32,117783697725629.88,3.0,2.0,117779536694715.08,0.0,4161030914.802,0.0,0.0,0.0,117779536694715.08,0.0,0.0,4161030914.802,0.0,171117645463.7812
4520,2019,WM,WM,ELEC2,SUPPO,263.91,116287341297038.55,5.0,3.0,116280691183691.05,0.0,6629957148.159,0.0,0.0,20156199.345,116280691183691.05,20156199.345,0.0,6629957148.159,0.0,440632569046.4118
4391,2019,WM,WM,ELEC2,CEMEN,261.7,115314996682897.69,5.0,3.0,115308402174931.02,0.0,6574520304.792,0.0,0.0,19987661.895,115308402174931.02,19987661.895,0.0,6574520304.792,0.0,440638122594.183
4467,2019,WM,WM,ELEC2,NATU1,255.67,112658401728101.34,5.0,3.0,112651959142582.72,0.0,6423058326.955,0.0,0.0,19527191.677,112651959142582.72,19527191.677,0.0,6423058326.955,0.0,440639894113.9021
