trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,CO2_total,Water_total,Land_total,Employment_people_total,impact_intensity
258,2021,US,US,AIRTR,POSTT,1648.03,331167474780994.9,1.0,1.0,331167474780994.9,0.0,0.0,0.0,0.0,331167474780994.9,0.0,0.0,0.0,200947479585.31998
14567,2021,US,US,PUBLI,HEALT,935.49,327225259011558.5,1.0,1.0,327225259011558.5,0.0,0.0,0.0,0.0,327225259011558.5,0.0,0.0,0.0,349790226524.6646
219,2021,US,US,AIRTR,LANDT,1592.86,320080943042690.9,1.0,1.0,320080943042690.9,0.0,0.0,0.0,0.0,320080943042690.9,0.0,0.0,0.0,200947316802.91483
7699,2021,US,US,GASDI,LANDT,5765.73,319419493120800.3,1.0,1.0,319419493120800.3,0.0,0.0,0.0,0.0,319419493120800.3,0.0,0.0,0.0,55399661989.16708
6241,2021,US,US,FINAN,PUBLI,7674.36,315929904801085.1,1.0,1.0,315929904801085.1,0.0,0.0,0.0,0.0,315929904801085.1,0.0,0.0,0.0,41166938324.64012
3444,2021,US,US,CRUDE,BITU1,2475.82,313700370991764.1,2.0,2.0,313699004779031.8,0.0,0.0,1366212732.31,0.0,313699004779031.8,0.0,0.0,0.0,126705645399.00482
13005,2021,US,US,PAPER,DAIRY,2619.24,301327231793343.0,1.0,1.0,301327231793343.0,0.0,0.0,0.0,0.0,301327231793343.0,0.0,0.0,0.0,115043765288.15344
13063,2021,US,US,PAPER,MOTO1,2612.98,300606462231575.25,1.0,1.0,300606462231575.25,0.0,0.0,0.0,0.0,300606462231575.25,0.0,0.0,0.0,115043537352.59177
13087,2021,US,US,PAPER,PLAST,2577.54,296529043946381.7,1.0,1.0,296529043946381.7,0.0,0.0,0.0,0.0,296529043946381.7,0.0,0.0,0.0,115043430537.01657
4717,2021,US,US,ELEC2,SALEM,448.1,296022940226517.44,1.0,1.0,296022940226517.44,0.0,0.0,0.0,0.0,296022940226517.44,0.0,0.0,0.0,660618032194.8615
6249,2021,US,US,FINAN,RENTI,7135.44,293744182966726.44,1.0,1.0,293744182966726.44,0.0,0.0,0.0,0.0,293744182966726.44,0.0,0.0,0.0,41166933358.94163
19492,2021,US,US,WOODW,RESEA,4211.68,292828267893201.25,1.0,1.0,292828267893201.25,0.0,0.0,0.0,0.0,292828267893201.25,0.0,0.0,0.0,69527663044.96097
4445,2021,US,US,ELEC1,BASIC,342.8,290041092207794.6,2.0,2.0,290041080620999.6,0.0,0.0,0.0,11586794.969,290041080620999.6,11586794.969,0.0,0.0,846094201306.2854
4533,2021,US,US,ELEC1,PAPER,342.45,289751344761719.9,2.0,2.0,289751333186499.94,0.0,0.0,0.0,11575219.905,289751333186499.94,11575219.905,0.0,0.0,846112847895.2252
13116,2021,US,US,PAPER,SUPPO,2486.21,286022602077347.0,1.0,1.0,286022602077347.0,0.0,0.0,0.0,0.0,286022602077347.0,0.0,0.0,0.0,115043621446.83957
4729,2021,US,US,ELEC2,TEXTI,425.25,280933116476887.12,1.0,1.0,280933116476887.12,0.0,0.0,0.0,0.0,280933116476887.12,0.0,0.0,0.0,660630491421.2513
180,2021,US,US,AIRTR,EDUCA,1398.04,280931774199114.25,1.0,1.0,280931774199114.25,0.0,0.0,0.0,0.0,280931774199114.25,0.0,0.0,0.0,200946878629.44855
4591,2021,US,US,ELEC2,ALUM1,412.71,272647481704049.2,1.0,1.0,272647481704049.2,0.0,0.0,0.0,0.0,272647481704049.2,0.0,0.0,0.0,660627272671.002
4126,2021,US,US,EDUCA,PUBLI,2302.65,272476429136980.53,2.0,2.0,272476410593546.88,18543433.655,0.0,0.0,0.0,272476410593546.88,0.0,0.0,18543433655.396,118331674000.3824
6193,2021,US,US,FINAN,LANDT,6568.77,270416111164449.7,1.0,1.0,270416111164449.7,0.0,0.0,0.0,0.0,270416111164449.7,0.0,0.0,0.0,41166932494.88864
6235,2021,US,US,FINAN,POSTT,6529.8,268811620082888.16,1.0,1.0,268811620082888.16,0.0,0.0,0.0,0.0,268811620082888.16,0.0,0.0,0.0,41166899458.31238
