trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
1688,2021,US,US,BITUM,PULP5,6.68,1197236.951,1.0,1.0,1197236.951,1197236.951,1197236.951,179227.088473
11454,2021,US,US,NATUR,RADIO,1.77,1183411.002,1.0,1.0,1183411.002,1183411.002,1183411.002,668593.786441
1607,2021,US,US,BITUM,BIOGA,6.58,1179376.038,1.0,1.0,1179376.038,1179376.038,1179376.038,179236.479939
16272,2021,US,US,SANDC,TEXT2,0.73,1171333.311,1.0,1.0,1171333.311,1171333.311,1171333.311,1604566.179452
3554,2021,US,US,CRUDE,RENTI,2.1,1160941.415,1.0,1.0,1160941.415,1160941.415,1160941.415,552829.245238
3482,2021,US,US,CRUDE,FOODW,2.03,1117619.588,1.0,1.0,1117619.588,1117619.588,1117619.588,550551.521182
11402,2021,US,US,NATUR,INSUR,1.67,1113239.706,1.0,1.0,1113239.706,1113239.706,1113239.706,666610.602395
16913,2021,US,US,SUBBI,DAIRY,4.57,1112445.284,1.0,1.0,1112445.284,1112445.284,1112445.284,243423.475711
3535,2021,US,US,CRUDE,PIGS9,2.0,1102216.362,1.0,1.0,1102216.362,1102216.362,1102216.362,551108.181
16830,2021,US,US,STONE,INERT,0.85,1078810.05,2.0,1.0,1078810.05,1078810.05,1078810.05,1269188.294118
7375,2021,US,US,FORES,TEXTI,5.07,1071648.656,1.0,1.0,1071648.656,1071648.656,1071648.656,211370.54359
16961,2021,US,US,SUBBI,PLAST,4.37,1064327.856,1.0,1.0,1064327.856,1064327.856,1064327.856,243553.285126
3447,2021,US,US,CRUDE,BRICK,1.88,1035872.265,1.0,1.0,1035872.265,1035872.265,1035872.265,550995.885638
16202,2021,US,US,SANDC,COMPU,0.64,1030269.348,1.0,1.0,1030269.348,1030269.348,1030269.348,1609795.85625
16854,2021,US,US,STONE,PAPE4,0.78,993237.677,2.0,1.0,993237.677,993237.677,993237.677,1273381.637179
1708,2021,US,US,BITUM,TEXTI,5.5,985570.746,1.0,1.0,985570.746,985570.746,985570.746,179194.681091
2327,2021,US,US,CEREA,GASDI,2.47,984463.136,1.0,1.0,984463.136,984463.136,984463.136,398568.071255
7362,2021,US,US,FORES,RETA1,4.64,981533.32,1.0,1.0,981533.32,981533.32,981533.32,211537.353448
16278,2021,US,US,SANDC,WHOLE,0.6,976046.303,1.0,1.0,976046.303,976046.303,976046.303,1626743.838333
16279,2021,US,US,SANDC,WOOD1,0.6,968209.363,1.0,1.0,968209.363,968209.363,968209.363,1613682.271667
3537,2021,US,US,CRUDE,PLAS1,1.75,966659.22,1.0,1.0,966659.22,966659.22,966659.22,552376.697143
16271,2021,US,US,SANDC,TEXT1,0.59,959218.657,1.0,1.0,959218.657,959218.657,959218.657,1625794.333898
11356,2021,US,US,NATUR,BLAST,1.43,953644.611,1.0,1.0,953644.611,953644.611,953644.611,666884.343357
2045,2021,US,US,CATTL,WEARI,1.07,951578.038,2.0,1.0,951578.038,951578.038,951578.038,889325.269159
1631,2021,US,US,BITUM,FISH5,5.19,929833.77,1.0,1.0,929833.77,929833.77,929833.77,179158.722543
3472,2021,US,US,CRUDE,ELECT,1.66,915924.611,1.0,1.0,915924.611,915924.611,915924.611,551761.813855
3551,2021,US,US,CRUDE,REALE,1.65,911608.47,1.0,1.0,911608.47,911608.47,911608.47,552489.981818
16832,2021,US,US,STONE,INTER,0.72,910785.511,2.0,1.0,910785.511,910785.511,910785.511,1264979.876389
7285,2021,US,US,FORES,COMPU,4.28,905184.528,1.0,1.0,905184.528,905184.528,905184.528,211491.71215
2342,2021,US,US,CEREA,MEAT4,2.19,872490.061,1.0,1.0,872490.061,872490.061,872490.061,398397.288128
3488,2021,US,US,CRUDE,HEALT,1.55,855853.99,1.0,1.0,855853.99,855853.99,855853.99,552163.864516
1659,2021,US,US,BITUM,MEATP,4.77,854367.891,1.0,1.0,854367.891,854367.891,854367.891,179112.765409
16264,2021,US,US,SANDC,RUBBE,0.53,852273.355,1.0,1.0,852273.355,852273.355,852273.355,1608062.933962
2387,2021,US,US,CEREA,TEXTI,2.12,847516.954,1.0,1.0,847516.954,847516.954,847516.954,399772.148113
