industry_id,name,category
OFFIC,Office machinery and computers (30),Machinery
ELECT,Electrical machinery and apparatus n.e.c. (31),Machinery
RADIO,"Radio, television and communication equipment and apparatus (32)",Machinery
MEDIC,"Medical, precision and optical instruments, watches and clocks (33)",Health & Social
MOTO1,"Motor vehicles, trailers and semi-trailers (34)",Transportation Equipment
TRANS,Other transport equipment (35),Machinery
FURNI,Furniture; other manufactured goods n.e.c. (36),Other Services
SECO9,Secondary raw materials,Other Services
BOTTL,"Bottles for treatment, Recycling of bottles by direct reuse",Other Services
ELEC1,Electricity by coal,Mining
ELEC2,Electricity by gas,Mining
ELEC3,Electricity by nuclear,Utilities
ELEC4,Electricity by hydro,Utilities
ELEC5,Electricity by wind,Utilities
ELEC6,Electricity by petroleum and other oil derivatives,Mining
ELEC7,Electricity by biomass and waste,Utilities
ELEC8,Electricity by solar photovoltaic,Utilities
ELEC9,Electricity by solar thermal,Utilities
ELE10,"Electricity by tide, wave, ocean",Utilities
ELE11,Electricity by Geothermal,Utilities
ELE12,Electricity nec,Utilities
TRAN1,Transmission services of electricity,Utilities
DISTR,Distribution and trade services of electricity,Utilities
COKE1,Coke oven gas,Mining
BLAST,Blast Furnace Gas,Mining
OXYGE,Oxygen Steel Furnace Gas,Mining
GASWO,Gas Works Gas,Mining
BIOG1,Biogas,Mining
DIST1,Distribution services of gaseous fuels through mains,Mining
STEAM,Steam and hot water supply services,Utilities
COLLE,"Collected and purified water, distribution services of water (41)",Utilities
CONST,Construction work (45),Construction
SEC10,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",Construction
SALEM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Transportation Equipment
RETAI,Retail trade services of motor fuel,Transportation Equipment
WHOLE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",Transportation Equipment
RETA1,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",Transportation Equipment
HOTEL,Hotel and restaurant services (55),Accommodation & Food
RAILW,Railway transportation services,Transportation Equipment
LANDT,Other land transportation services,Transportation Equipment
TRAN2,Transportation services via pipelines,Transportation Equipment
SEACO,Sea and coastal water transportation services,Transportation Equipment
INLAN,Inland water transportation services,Transportation Equipment
AIRTR,Air transport services (62),Transportation Equipment
SUPPO,Supporting and auxiliary transport services; travel agency services (63),Transportation Equipment
POSTT,Post and telecommunication services (64),Information
FINAN,"Financial intermediation services, except insurance and pension funding services (65)",Information
INSUR,"Insurance and pension funding services, except compulsory social security services (66)",Finance & Insurance
AUXIL,Services auxiliary to financial intermediation (67),Information
REALE,Real estate services (70),Real Estate
RENTI,Renting services of machinery and equipment without operator and of personal and household goods (71),Machinery
COMPU,Computer and related services (72),Machinery
RESEA,Research and development services (73),Other Services
BUSIN,Other business services (74),Other Services
PUBLI,Public administration and defence services; compulsory social security services (75),Public Administration
EDUCA,Education services (80),Education
