trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,material,water,CO2_total,impact_intensity
4573,2022,DE,DE,ELEC1,INLAN,0.17,22603684736.638,1.0,1.0,22603684736.638,0.0,0.0,22603684736.638,132962851391.98824
4610,2022,DE,DE,ELEC1,PAPE4,0.17,22005578788.938,1.0,1.0,22005578788.938,0.0,0.0,22005578788.938,129444581111.4
4542,2022,DE,DE,ELEC1,DIST1,0.17,21959363083.114,1.0,1.0,21959363083.114,0.0,0.0,21959363083.114,129172724018.31763
4626,2022,DE,DE,ELEC1,RADIO,0.16,21611062425.329,1.0,1.0,21611062425.329,0.0,0.0,21611062425.329,135069140158.30624
4576,2022,DE,DE,ELEC1,IRONO,0.15,19371401463.44,1.0,1.0,19371401463.44,0.0,0.0,19371401463.44,129142676422.93333
4613,2022,DE,DE,ELEC1,PETRO,0.13,16579331975.903,1.0,1.0,16579331975.903,0.0,0.0,16579331975.903,127533322891.56154
4531,2022,DE,DE,ELEC1,CHARC,0.09,11512660385.422,1.0,1.0,11512660385.422,0.0,0.0,11512660385.422,127918448726.91113
4608,2022,DE,DE,ELEC1,PAPE2,0.07,9813536554.368,1.0,1.0,9813536554.368,0.0,0.0,9813536554.368,140193379348.11426
4599,2022,DE,DE,ELEC1,NFERT,0.07,8711794658.99,1.0,1.0,8711794658.99,0.0,0.0,8711794658.99,124454209414.14284
4581,2022,DE,DE,ELEC1,LEADZ,0.06,8369199658.368,1.0,1.0,8369199658.368,0.0,0.0,8369199658.368,139486660972.80002
4665,2022,DE,DE,ELEC1,WOOLS,0.05,6405603440.488,1.0,1.0,6405603440.488,0.0,0.0,6405603440.488,128112068809.76
4551,2022,DE,DE,ELEC1,ELEC7,0.05,6276642269.019,1.0,1.0,6276642269.019,0.0,0.0,6276642269.019,125532845380.37999
4546,2022,DE,DE,ELEC1,ELEC1,0.05,6122904919.738,1.0,1.0,6122904919.738,0.0,0.0,6122904919.738,122458098394.76
4617,2022,DE,DE,ELEC1,PLAS2,0.04,5738789838.959,1.0,1.0,5738789838.959,0.0,0.0,5738789838.959,143469745973.97498
4552,2022,DE,DE,ELEC1,ELEC8,0.04,5714194438.593,1.0,1.0,5714194438.593,0.0,0.0,5714194438.593,142854860964.825
16822,2022,DE,DE,SANDC,SANDC,9611.97,4939145664.705,1.0,1.0,0.0,4939145664.705,0.0,0.0,513853.62883
4609,2022,DE,DE,ELEC1,PAPE3,0.03,3734058192.901,1.0,1.0,3734058192.901,0.0,0.0,3734058192.901,124468606430.03334
4623,2022,DE,DE,ELEC1,PROCE,0.03,3477233445.43,1.0,1.0,3477233445.43,0.0,0.0,3477233445.43,115907781514.33333
16720,2022,DE,DE,SANDC,CONST,6654.02,3419193755.199,1.0,1.0,0.0,3419193755.199,0.0,0.0,513853.844022
4547,2022,DE,DE,ELEC1,ELEC2,0.02,2375993713.793,1.0,1.0,2375993713.793,0.0,0.0,2375993713.793,118799685689.65001
4517,2022,DE,DE,ELEC1,AVIAT,0.01,1339687363.336,1.0,1.0,1339687363.336,0.0,0.0,1339687363.336,133968736333.59999
4550,2022,DE,DE,ELEC1,ELEC6,0.01,1198427755.55,1.0,1.0,1198427755.55,0.0,0.0,1198427755.55,119842775555.0
4601,2022,DE,DE,ELEC1,NONFE,0.01,793784626.552,1.0,1.0,793784626.552,0.0,0.0,793784626.552,79378462655.2
16827,2022,DE,DE,SANDC,STONE,1231.85,632988504.777,1.0,1.0,0.0,632988504.777,0.0,0.0,513851.933902
4545,2022,DE,DE,ELEC1,ELE12,0.0,542061912.009,1.0,1.0,542061912.009,0.0,0.0,542061912.009,0.0
4577,2022,DE,DE,ELEC1,KERO1,0.0,523694723.33,1.0,1.0,523694723.33,0.0,0.0,523694723.33,0.0
16710,2022,DE,DE,SANDC,CEMEN,926.75,476213354.678,1.0,1.0,0.0,476213354.678,0.0,0.0,513853.093799
4521,2022,DE,DE,ELEC1,BIOG1,0.0,454477570.47,1.0,1.0,454477570.47,0.0,0.0,454477570.47,0.0
16715,2022,DE,DE,SANDC,CHEMI,667.87,343186902.304,1.0,1.0,0.0,343186902.304,0.0,0.0,513852.849063
4549,2022,DE,DE,ELEC1,ELEC5,0.0,232413968.188,1.0,1.0,232413968.188,0.0,0.0,232413968.188,0.0
16752,2022,DE,DE,SANDC,GLASS,285.6,146755156.165,1.0,1.0,0.0,146755156.165,0.0,0.0,513848.586012
16808,2022,DE,DE,SANDC,PUBLI,209.16,107479256.373,1.0,1.0,0.0,107479256.373,0.0,0.0,513861.428442
